submission_date,new_case,new_death,Admin_Dose_1_Daily,Administered_Dose1_Pop_Pct,Series_Complete_Daily,Series_Complete_Pop_Pct,Booster_Daily,Additional_Doses_Vax_Pct,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips >=500
2021-12-17,4044,26,45889.0,150.1,14846.0,113.2,36376.0,37.0,1853666.0,8634418.0,45095833.0,26843.0
2021-12-18,4115,26,37573.0,150.5,12558.0,113.4,26955.0,37.4,1905140.0,8582944.0,41642477.0,24628.0
2021-12-19,3410,19,30475.0,150.7,10028.0,113.4,22941.0,37.8,1958400.0,8529684.0,40594221.0,23717.0
2021-12-20,2761,27,39402.0,151.1,11438.0,113.5,29147.0,38.3,1946899.0,8541185.0,40967778.0,24335.0
2021-12-21,3868,22,43474.0,151.5,10426.0,113.6,27465.0,38.7,1834527.0,8653557.0,46010055.0,26154.0
2021-12-22,5277,33,70371.0,152.1,17129.0,113.8,35952.0,39.2,1841022.0,8647062.0,46237616.0,26825.0
2021-12-23,6973,36,58874.0,152.7,14374.0,113.9,32799.0,39.8,1899234.0,8588850.0,41908489.0,26676.0
2021-12-24,7299,28,35862.0,153.10000000000002,10208.0,114.0,22549.0,40.099999999999994,1891722.0,8596362.0,42023025.0,27717.0
2021-12-25,6900,30,12933.0,153.2,5391.0,114.1,13439.0,40.3,1851558.0,8636526.0,44581823.0,29365.0
2021-12-26,4863,28,14422.0,153.4,5671.0,114.1,9326.0,40.5,1891714.0,8596370.0,44693994.0,27543.0
2021-12-27,4256,27,26727.0,153.60000000000002,7428.0,114.2,12917.0,40.7,1911908.0,8576176.0,42298451.0,27290.0
2021-12-28,7305,30,35022.0,153.9,9808.0,114.2,18957.0,40.9,1930507.0,8557577.0,41034579.0,27101.0
2021-12-29,15065,33,39198.0,154.3,10763.0,114.4,24133.0,41.3,1855573.0,8632511.0,44943174.0,27405.0
2021-12-30,19881,23,43014.0,154.8,12478.0,114.5,29911.0,41.8,1824779.0,8663305.0,46873702.0,27821.0
2021-12-31,21792,35,50495.0,155.2,11963.0,114.6,21988.0,42.1,1899385.0,8588699.0,41788710.0,26828.0
2022-01-01,21163,22,17708.0,155.4,6059.0,114.69999999999999,15508.0,42.400000000000006,1918321.0,8569763.0,41232149.0,26610.0
2022-01-02,11967,34,9118.0,155.5,2389.0,114.69999999999999,3084.0,42.400000000000006,1873621.0,8614463.0,44772100.0,26805.0
